UNIX time,value,sumcheck
1609832091,1,51
1609832298,1,52
1609832645,1,53
1609832649,1,54
1609832665,1,55
1609832789,1,56
1609832879,1,57
1609832992,1,58
1609833060,-1,57
1609833333,1,58
1609834097,-1,57
1609834384,1,58
1609834465,1,59
1609835080,1,60
1609835521,1,61
1609835852,1,62
1609836076,1,63
1609836483,1,64
1609836616,-1,63
1609836983,1,64
1609838143,1,65
1609838740,1,66
1609838878,1,67
1609839329,1,68
1609839984,1,69
1609840228,1,70
1609840370,-1,69
1609840385,-1,68
1609841100,1,69
1609841422,1,70
1609842232,-1,69
1609842263,-1,68
1609843415,-1,67
1609843623,-1,66
1609843795,1,67
1609843910,1,68
1609844013,-1,67
1609844346,-1,66
1609844561,1,67
1609844699,1,68
1609844782,-1,67
1609844910,-1,66
1609845014,-1,65
1609845019,-1,64
1609845111,-1,63
1609845215,-1,62
1609845455,1,63
1609846193,1,64
1609846279,1,65
1609846285,1,66
1609846459,-1,65
1609846465,-1,64
1609846470,1,65
1609846949,1,66
1609847061,-1,65
1609847447,1,66
1609847735,1,67
1609848458,1,68
1609848466,-1,67
1609849262,1,68
1609849418,1,69
1609849533,1,70
1609849659,-1,69
1609850678,-1,68
1609850681,-1,67
1609850716,1,68
1609850720,1,69
1609850820,-1,68
1609850880,-1,67
1609850924,1,68
1609851041,-1,67
1609851085,-1,66
1609851647,1,67
1609852410,-1,66
1609852523,-1,65
1609852814,-1,64
1609853163,1,65
1609853655,-1,64
1609854387,1,65
1609854423,1,66
1609854591,1,67
1609854782,1,68
1609855022,-1,67
1609856375,1,68
1609856405,1,69
1609856615,-1,68
1609856630,-1,67
1609856740,-1,66
1609856814,1,67
1609857131,-1,66
1609857784,-1,65
1609857789,-1,64
1609857798,-1,63
1609857828,1,64
1609858189,-1,63
1609858189,1,64
1609858194,1,65
1609858211,1,66
1609858590,-1,65
1609858730,1,66
1609859153,-1,65
1609859404,-1,64
1609859486,1,65
1609859527,-1,64
1609859719,-1,63
1609860300,-1,62
1609860317,-1,61
