start,end
1542627900.0,1542653100.0
1541574600.0,1541614200.0
1541578500.0,1541592900.0
1541526900.0,1541541300.0
1541490900.0,1541526900.0
1541489700.0,1541511300.0
1541489400.0,1541525400.0
1542371100.0,1542389100.0
1541484000.0,1541512800.0
1541484000.0,1541610000.0
1541408100.0,1541440500.0
1542290400.0,1542297600.0
1541401200.0,1541426400.0
1541397600.0,1541422800.0
1544187600.0,1544198400.0
1542264000.0,1542390000.0
1544166600.0,1544206200.0
1544167800.0,1544193000.0
1542180300.0,1542266700.0
1542174900.0,1542261300.0
1544086200.0,1544104200.0
1544079000.0,1544118600.0
1539589800.0,1539625800.0
1544003100.0,1544046300.0
1543995000.0,1544016600.0
1539510300.0,1539539100.0
1539423000.0,1539451800.0
1539337800.0,1539355800.0
1543926600.0,1543941000.0
1539333000.0,1539419400.0
1539330000.0,1539340800.0
1543913400.0,1543945800.0
1543909800.0,1543996200.0
1539248400.0,1539277200.0
1539243000.0,1539329400.0
1539244800.0,1539284400.0
1543903200.0,1543932000.0
1539180300.0,1539191100.0
1539162000.0,1539194400.0
1543824900.0,1543860900.0
1539151200.0,1539176400.0
1539072900.0,1539105300.0
1539070200.0,1539156600.0
1539068700.0,1539155100.0
1539008700.0,1539023100.0
1543568400.0,1543604400.0
1538741100.0,1538773500.0
1538741700.0,1538752500.0
1538676300.0,1538687100.0
1543422600.0,1543444200.0
1543406400.0,1543420800.0
1538647800.0,1538673000.0
1538587200.0,1538590800.0
1535700300.0,1535786700.0
1535698800.0,1535756400.0
1535545800.0,1535556600.0
1535524500.0,1535610900.0
1543154400.0,1543183200.0
1535455200.0,1535473200.0
1542986700.0,1543015500.0
1535607000.0,1535693400.0
1535391000.0,1535401800.0
1542964800.0,1542990000.0
1542958500.0,1542965700.0
1542906000.0,1542927600.0
1535180400.0,1535191200.0
1535130300.0,1535133900.0
1535108400.0,1535130000.0
1542871800.0,1542907800.0
1535094300.0,1535130300.0
1535092500.0,1535128500.0
1535090400.0,1535112000.0
1542792300.0,1542795900.0
1546076400.0,1546108800.0
1534920000.0,1535006400.0
1545905400.0,1545923400.0
1545587100.0,1545594300.0
1545554700.0,1545587100.0
1545485400.0,1545521400.0
1545417600.0,1545432000.0
1529388900.0,1529424900.0
1529305200.0,1529326800.0
1545323400.0,1545341400.0
1545292800.0,1545328800.0
1529081100.0,1529088300.0
1545292500.0,1545332100.0
1529037900.0,1529124300.0
1545287400.0,1545323400.0
1528958400.0,1528994400.0
1528959600.0,1528999200.0
1545202800.0,1545336000.0
1528962300.0,1529012700.0
1528883100.0,1528965900.0
1528807500.0,1528825500.0
1528787700.0,1528874100.0
1528785900.0,1528872300.0
1545066300.0,1545087900.0
1545053400.0,1545078600.0
1545036600.0,1545123000.0
1528730700.0,1528745100.0
1528701300.0,1528787700.0
1542783600.0,1542870000.0
1528541400.0,1528627800.0
1528459200.0,1528480800.0
1528444500.0,1528480500.0
1542697800.0,1542784200.0
1525955400.0,1526056200.0
1525942800.0,1525978800.0
1526028000.0,1526038800.0
1542638100.0,1542645300.0
1525870800.0,1526248800.0
1525876500.0,1525880100.0
1542614400.0,1542650400.0
1525852800.0,1525888800.0
1525845600.0,1525885200.0
1525766100.0,1525802100.0
1525712400.0,1525719600.0
1542447900.0,1542469500.0
1542438000.0,1542499200.0
1525507200.0,1525539600.0
1542372000.0,1542375600.0
1542350700.0,1542390300.0
1525417500.0,1525449900.0
1525330800.0,1525370400.0
1525335000.0,1525421400.0
1529512500.0,1529541300.0
1529398200.0,1529484600.0
1542215400.0,1542222600.0
1537532400.0,1537550400.0
1537516500.0,1537602900.0
1537514400.0,1537554000.0
1542104400.0,1542129600.0
1542096000.0,1542117600.0
1546266900.0,1546353300.0
1546099200.0,1546124400.0
1537351200.0,1537369200.0
1537343700.0,1537358100.0
1545976800.0,1545998400.0
1545930900.0,1545959700.0
1545915900.0,1545933900.0
1544850600.0,1544890200.0
1545904200.0,1545915000.0
1545903300.0,1545935700.0
1537336800.0,1537358400.0
1537272900.0,1537359300.0
1537266300.0,1537302300.0
1545809100.0,1545855900.0
1544775600.0,1544782800.0
1544772600.0,1544808600.0
1545631200.0,1545656400.0
1545496200.0,1545521400.0
1544862600.0,1545035400.0
1537104300.0,1537107900.0
1537055700.0,1537059300.0
1544684400.0,1544724000.0
1545336300.0,1545343500.0
1544680800.0,1544706000.0
1544682600.0,1544711400.0
1545295800.0,1545303000.0
1544619600.0,1544630400.0
1536918300.0,1536939900.0
1544607900.0,1544647500.0
1544601900.0,1544688300.0
1544600400.0,1544686800.0
1544598900.0,1544616900.0
1536832800.0,1536861600.0
1544550600.0,1544572200.0
1544512800.0,1544552400.0
1536817500.0,1536842700.0
1544510700.0,1544561100.0
1544508000.0,1544536800.0
1544457300.0,1544471700.0
1527274200.0,1527277800.0
1527241500.0,1527263100.0
1545123000.0,1545155400.0
1527153300.0,1527185700.0
1544288400.0,1544292000.0
1544261400.0,1544290200.0
1545029700.0,1545116100.0
1544203800.0,1544218200.0
1527062100.0,1527090900.0
1527060000.0,1527081600.0
1542784800.0,1542824400.0
1542780000.0,1542805200.0
1526975100.0,1527061500.0
1526974800.0,1527000000.0
1542704400.0,1542722400.0
1542700800.0,1542736800.0
1526976900.0,1526991300.0
1526972400.0,1527019200.0
1542696300.0,1542782700.0
1526722800.0,1526726400.0
1526718300.0,1526750700.0
1526663700.0,1526696100.0
1526630400.0,1526662800.0
1526539500.0,1526625900.0
1526470500.0,1526492100.0
1542441600.0,1542477600.0
1542358800.0,1542366000.0
