start,end
1587450600.0,1587490200.0
1587361200.0,1587447600.0
1587360600.0,1587400200.0
1581579600.0,1581597600.0
1581576900.0,1581609300.0
1581579900.0,1581615900.0
1583736900.0,1583776500.0
1587024000.0,1587060000.0
1592809500.0,1592834700.0
1583729700.0,1583816100.0
1582731600.0,1582742400.0
1582713000.0,1582723800.0
1592773200.0,1592776800.0
1577862000.0,1577919600.0
1592736000.0,1592750400.0
1586849400.0,1586885400.0
1582700100.0,1582736100.0
1582698000.0,1582719600.0
1605511200.0,1605547200.0
1586412900.0,1586445300.0
1582630500.0,1582655700.0
1582620300.0,1582656300.0
1582618200.0,1582639800.0
1605361800.0,1605372600.0
1605302700.0,1605306300.0
1605271200.0,1605292800.0
1605252900.0,1605339300.0
1605252300.0,1605288300.0
1585808100.0,1585836900.0
1585746600.0,1585761000.0
1605177900.0,1605185100.0
1592550600.0,1592637000.0
1605169800.0,1605177000.0
1580450100.0,1580464500.0
1605166500.0,1605252900.0
1605165900.0,1605252300.0
1585635900.0,1585675500.0
1580401500.0,1580455500.0
1605165600.0,1605201600.0
1605100500.0,1605118500.0
1585213800.0,1585221000.0
1580369700.0,1580384100.0
1605079200.0,1605165600.0
1585140900.0,1585158900.0
1592466900.0,1592502900.0
1605077100.0,1605113100.0
1580366700.0,1580453100.0
1592465400.0,1592501400.0
1585059600.0,1585074000.0
1605033600.0,1605048000.0
1584944700.0,1584984300.0
1604930700.0,1604945100.0
1604646600.0,1604686200.0
1580232900.0,1580247300.0
1584431100.0,1584456300.0
1604597100.0,1604604300.0
1580199900.0,1580217900.0
1580199300.0,1580231700.0
1604559600.0,1604592000.0
1604505600.0,1604523600.0
1580197500.0,1580219100.0
1591083000.0,1591119000.0
1580201100.0,1580211900.0
1584102600.0,1584124200.0
1584092700.0,1584096300.0
1579593600.0,1579629600.0
1579590900.0,1579612500.0
1584082800.0,1584111600.0
1584009600.0,1584013200.0
1579589400.0,1579629000.0
1584000300.0,1584036300.0
1604138100.0,1604152500.0
1583995800.0,1584024600.0
1579501500.0,1579587900.0
1583992800.0,1584014400.0
1579338900.0,1579425300.0
1603982400.0,1603986000.0
1579333500.0,1579380300.0
1579328700.0,1579361100.0
1603964700.0,1603979100.0
1590495900.0,1590513900.0
1579287600.0,1579474800.0
1603962000.0,1603987200.0
1579259100.0,1579529100.0
1590472800.0,1590559200.0
1603956600.0,1603992600.0
1590391800.0,1590478200.0
1579245000.0,1579266600.0
1604734200.0,1604766600.0
1579243500.0,1579268700.0
1579219200.0,1579251600.0
1590314400.0,1590336000.0
1590310800.0,1590328800.0
1579178100.0,1579192500.0
1590237600.0,1590259200.0
1611125400.0,1611161400.0
1583825400.0,1583861400.0
1583825400.0,1583865000.0
1589988000.0,1589998800.0
1589961300.0,1590000900.0
1583827200.0,1583863200.0
1579161600.0,1579219200.0
1583749800.0,1583753400.0
1582550700.0,1582662300.0
1591963800.0,1591985400.0
1582527900.0,1582567500.0
1582446900.0,1582533300.0
1582364100.0,1582378500.0
1582354800.0,1582390800.0
1582308600.0,1582312200.0
1591864800.0,1591897200.0
1582280700.0,1582475100.0
1592810400.0,1592896800.0
1592808300.0,1592894700.0
1582267500.0,1582353900.0
1592807400.0,1592857800.0
1582214400.0,1582239600.0
1582185600.0,1582203600.0
1582185000.0,1582311000.0
1582191000.0,1582201800.0
1582183800.0,1582219800.0
1582117200.0,1582128000.0
1591768500.0,1591854900.0
1591776000.0,1591794000.0
1582125300.0,1582132500.0
1582094700.0,1582137900.0
1591689600.0,1591714800.0
1592550000.0,1592586000.0
1592549100.0,1592635500.0
1592469000.0,1592501400.0
1589787000.0,1589873400.0
1589783100.0,1590092700.0
1589778900.0,1589865300.0
1592465700.0,1592487300.0
1589718900.0,1589729700.0
1592459100.0,1592545500.0
1589441400.0,1589527800.0
1589391300.0,1589402100.0
1591165800.0,1591205400.0
1591092900.0,1591100100.0
1589200500.0,1589222100.0
1591079400.0,1591119000.0
1591022700.0,1591040700.0
1588947900.0,1588962300.0
1590777300.0,1590791700.0
1588751100.0,1588787100.0
1588705200.0,1588708800.0
1590744600.0,1590831000.0
1588573800.0,1588613400.0
1588495500.0,1588517100.0
1590479400.0,1590490200.0
1583998200.0,1584034200.0
1584001800.0,1584030600.0
1590166800.0,1590188400.0
1583994000.0,1584030000.0
1589958300.0,1590044700.0
1583912700.0,1583941500.0
1583867400.0,1583878200.0
1583825100.0,1583853900.0
1606974600.0,1607061000.0
1606893600.0,1606980000.0
1606894200.0,1606930200.0
1606809600.0,1606827600.0
1587971700.0,1587993300.0
1606721400.0,1606757400.0
1587708000.0,1587729600.0
1587541800.0,1587577800.0
1587453000.0,1587539400.0
1587367800.0,1587389400.0
1606484400.0,1606502400.0
1606464000.0,1606550400.0
1587032100.0,1587039300.0
1587020400.0,1587024000.0
1586875200.0,1586878800.0
1606387500.0,1606409100.0
